id,categoria,intencao,pergunta,resposta
21,imc,info_imc,imc baixo é perigoso,"IMC abaixo de 18,5 indica desnutrição ou magreza excessiva. Pode causar anemia, osteoporose e queda de imunidade."
22,imc,info_imc,imc funciona para atletas,O IMC tem limitações em atletas pois não distingue músculo de gordura. Medidas complementares como circunferência abdominal são recomendadas.
23,colesterol,info_colesterol,qual o nível ideal de colesterol,Colesterol total: < 200 mg/dL (ótimo). LDL: < 130 mg/dL. HDL: > 60 mg/dL (protetor). Triglicerídeos: < 150 mg/dL.
24,colesterol,info_colesterol,alimentos que aumentam o colesterol ruim,"Gorduras saturadas (carnes gordas, manteiga, queijos amarelos) e trans (biscoitos industrializados) elevam o LDL."
25,colesterol,info_colesterol,colesterol alto tem sintomas,Não. O colesterol alto é silencioso. Só é detectado por exame de sangue (lipidograma). Por isso exames periódicos são essenciais.
26,colesterol,info_colesterol,exercício físico baixa colesterol,Sim. Exercícios aeróbicos regulares (150 min/semana) elevam o HDL (bom) e reduzem triglicerídeos e LDL.
27,colesterol,info_colesterol,diferença entre ldl e hdl,LDL transporta colesterol para as artérias (ruim em excesso). HDL remove o excesso das artérias (protetor). Queremos LDL baixo e HDL alto.
28,colesterol,info_colesterol,colesterol 250 precisa de remédio,Colesterol 250 mg/dL está na faixa alto. O médico avaliará o risco cardiovascular global antes de indicar estatinas ou só dieta.
41,sedentarismo,info_sedentarismo,o que é sedentarismo,"Sedentarismo é a falta de atividade física regular. Pode aumentar o risco de doenças crônicas como diabetes, pressão alta e obesidade."
42,sedentarismo,info_sedentarismo,como prevenir o sedentarismo,"Pratique exercícios aeróbicos regularmente, como caminhada, corrida, natação ou bike. Inclua atividades de força (musculação) para melhorar a saúde cardiovascular."
43,sedentarismo,info_sedentarismo,sedentarismo aumenta o risco de doenças,"Sim. Sedentarismo aumenta o risco de doenças crônicas como diabetes, pressão alta e obesidade. Pratique exercícios aeróbicos regularmente para reduzir o risco."
44,sedentarismo,info_sedentarismo,sedentarismo causa obesidade,Sim. Sedentarismo aumenta o risco de obesidade. Pratique exercícios aeróbicos regularmente para reduzir o risco.
45,sedentarismo,info_sedentarismo,sedentarismo causa diabetes,Sim. Sedentarismo aumenta o risco de diabetes. Pratique exercícios aeróbicos regularmente para reduzir o risco.
29,risco,info_risco,o que é risco cardiovascular,"É a probabilidade de desenvolver infarto ou AVC em 10 anos. Fatores: idade, pressão, colesterol, diabetes, tabagismo e histórico familiar."
30,risco,info_risco,como sei se tenho alto risco clínico,Múltiplos fatores alterados simultaneamente (glicose + pressão + colesterol + IMC) indicam alto risco. Avaliação médica completa é necessária.
31,risco,info_risco,posso reduzir meu risco de doenças crônicas,"Sim. 80% das doenças crônicas são preveníveis com alimentação saudável, exercício, não fumar e exames periódicos."
32,risco,info_risco,fatores de risco para infarto,"Pressão alta, colesterol alto, diabetes, obesidade, tabagismo, sedentarismo, estresse crônico e histórico familiar."
33,risco,info_risco,exames preventivos que devo fazer,"Anualmente: glicemia, lipidograma, pressão arterial, IMC. A cada 2 anos: ECG. Mulheres: mamografia e Papanicolau conforme idade."
34,risco,info_risco,com quantos anos aumenta o risco cardíaco,O risco cardiovascular aumenta progressivamente após 40 anos em homens e após 50 anos (menopausa) em mulheres.
35,sistema,ajuda,o que você sabe responder,"Respondo sobre glicose, pressão arterial, IMC, colesterol e risco clínico. Para emergências, ligue 192 (SAMU)."
36,sistema,ajuda,quais tópicos estão disponíveis,"Tópicos: glicose/glicemia, pressão arterial/hipertensão, IMC/obesidade, colesterol/LDL, risco cardiovascular."
37,sistema,consulta,quero marcar uma consulta médica,Para consultas: UBS (SUS): ligue 136. Pronto-atendimento: 192 (SAMU). Emergências: 192 ou 193.
38,sistema,consulta,onde posso fazer exames de sangue gratuitos,"Pelo SUS, exames básicos são gratuitos nas UBS (Unidades Básicas de Saúde). Apresente cartão do SUS e pedido médico."
39,sistema,saudacao,olá bom dia tudo bem,"Olá! Tudo bem sim, obrigado! Sou o assistente clínico virtual. Como posso ajudar você hoje?"
40,sistema,despedida,obrigado até logo tchau,Até logo! Cuide-se bem e não esqueça dos seus exames periódicos. Volte sempre! 🩺
